top - 20:38:40 up 1 day,  7:54,  6 users,  load average: 0.05, 0.09, 0.13
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.7%us,  0.8%sy,  0.0%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.0%st
Mem:   1538040k total,  1432476k used,   105564k free,   431888k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98792k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
 1976 haya      20   0 59156 3604 1768 S    0  0.2   0:02.37 gconfd-2                                                                                         
 1991 haya      20   0  316m  11m 4664 S    0  0.8   0:06.10 notify-osd                                                                                       
 1992 haya      20   0  173m 8672 1772 S    0  0.6   0:03.92 gnome-keyring-d                                                                                  
 2004 haya      20   0 53312 1628 1448 S    0  0.1   0:00.23 gvfsd                                                                                            
 2009 root      20   0 37952  856  804 S    0  0.1   0:04.59 tpvmlp                                                                                           
 2014 haya      20   0  151m 1052  956 S    0  0.1   0:24.58 gvfs-fuse-daemo                                                                                  
 2023 haya      20   0  213m 2204 1148 S    0  0.1   0:02.52 pulseaudio                                                                                       
 2025 rtkit     21   1 37628  964  876 S    0  0.1   0:02.91 rtkit-daemon                                                                                     
 2033 haya      20   0  694m  57m  10m S    0  3.8   3:49.04 nautilus                                                                                         
 2035 haya      20   0  421m  18m 5992 S    0  1.3   0:21.84 gnome-panel                                                                                      
 2038 haya      20   0  190m 3804 2640 S    0  0.2   0:01.88 gnome-power-man                                                                                  
 2040 haya      20   0  113m 1276 1276 S    0  0.1   0:00.03 gconf-helper                                                                                     
 2044 haya      20   0  224m 2984 2204 S    0  0.2   0:00.20 polkit-gnome-au                                                                                  
 2049 haya      20   0  406m 8084 4008 S    0  0.5   0:03.59 nm-applet                                                                                        
 2089 haya      20   0 69364 2364 1428 S    0  0.2   0:00.10 gvfs-gdu-volume                                                                                  
 2090 haya      20   0 56816 2020 1488 S    0  0.1   0:00.04 ibus-engine-moz                                                                                  
 2092 root      20   0 53836 2332 1500 S    0  0.2   0:00.27 udisks-daemon                                                                                    
 2093 root      20   0 45168  640  288 S    0  0.0   0:10.83 udisks-daemon                                                                                    
 2098 haya      20   0 60520 1756 1168 S    0  0.1   0:00.03 gvfs-gphoto2-vo                                                                                  
 2101 root      20   0 77628 2584 1568 S    0  0.2   0:00.27 upowerd                                                                                          
